Modelo,Melhor Dataset,Acurácia (Original),Acurácia (SMOTE),Diferença Acurácia,AUC (Original),AUC (SMOTE),Diferença AUC,Melhor Acurácia,Melhor AUC,Modelo Selecionado
Logistic Regression,SMOTE,0.5112781954887218,0.39849624060150374,-0.11278195488721804,0.615867436672307,0.6166394515714565,0.0007720148991494646,0.39849624060150374,0.6166394515714565,"LogisticRegression(C=0.42869870758139444, max_iter=2000,
                   multi_class='multinomial', random_state=42,
                   solver='newton-cg')"
Naive Bayes,Original,0.46616541353383456,0.2781954887218045,-0.18796992481203006,0.5918545413754142,0.5550857989551855,-0.03676874242022865,0.46616541353383456,0.5918545413754142,GaussianNB(var_smoothing=0.009759403743517341)
Support Vector Machine,Original,0.5263157894736842,0.37593984962406013,-0.15037593984962405,0.5867509429100194,0.5781390434126045,-0.008611899497414921,0.5263157894736842,0.5867509429100194,"SVC(C=1.457647564222602, kernel='poly', probability=True, random_state=42)"
K-Nearest Neighbors,Original,0.48872180451127817,0.3609022556390977,-0.12781954887218044,0.5687184622953124,0.5542333596429105,-0.014485102652401882,0.48872180451127817,0.5687184622953124,"KNeighborsClassifier(algorithm='brute', n_neighbors=9)"
Random Forest,SMOTE,0.49624060150375937,0.39849624060150374,-0.09774436090225563,0.5509847845948416,0.5559725398292761,0.00498775523443451,0.39849624060150374,0.5559725398292761,"RandomForestClassifier(bootstrap=False, criterion='entropy', max_depth=20,
                       min_samples_leaf=2, n_estimators=227, random_state=42)"
Gradient Boosting,SMOTE,0.42105263157894735,0.38345864661654133,-0.03759398496240601,0.5239899690231759,0.554508790282035,0.030518821258859186,0.38345864661654133,0.554508790282035,"GradientBoostingClassifier(learning_rate=0.026002125426171908, max_depth=10,
                           min_samples_leaf=5, min_samples_split=9,
                           n_estimators=263, random_state=42,
                           subsample=0.958111067266927)"
CatBoost,SMOTE,0.44360902255639095,0.40601503759398494,-0.03759398496240601,0.5412887863536188,0.5485108373833864,0.007222051029767584,0.40601503759398494,0.5485108373833864,<catboost.core.CatBoostClassifier object at 0x793283693c10>
Decision Tree,Original,0.45112781954887216,0.3157894736842105,-0.13533834586466165,0.5433893132659735,0.5063437121011441,-0.037045601164829356,0.45112781954887216,0.5433893132659735,"DecisionTreeClassifier(max_depth=23, min_samples_leaf=6, min_samples_split=9,
                       random_state=42)"
LightGBM,SMOTE,0.3684210526315789,0.37593984962406013,0.007518796992481203,0.5204716937781454,0.5398377500986609,0.019366056320515468,0.37593984962406013,0.5398377500986609,"LGBMClassifier(colsample_bytree=0.777830623515932,
               learning_rate=0.18342544539953995, max_depth=9,
               min_child_samples=5, n_estimators=117, num_leaves=78,
               random_state=42, subsample=0.9159907696508113)"
